,Property_Name,Location,Property_Type,Room_Type,Price,Rating,Reviews,Free_Cancellation
237,Casa Sonora - 2bhk apt in dona paula,Dona Paula,Entire apartment,Two-Bedroom Apartment,5950,,,Yes
238,"Monarch Palms Apartments, Candolim Goa",Candolim,Entire apartment,Two-Bedroom Apartment,6372,6.5,25,Yes
239,EKOSTAY - Blue Tiffany Villa,Nerul,Entire villa,Villa with Private Pool,41580,8.3,4,Yes
240,2BHK Private villa near the Bogmalo beach and 5 mins drive from Dabolim airport,Bogmalo,Entire villa,Two-Bedroom Villa,12000,9.1,36,Yes
241,Riverfront 2 Bedroom cozy Apartment by Greenspace,Siolim,Entire apartment,Two-Bedroom Apartment with River View,5985,8.8,4,Yes
242,Marbela Beach Resort,Morjim,Entire villa,Villa with Garden View,16848,6.9,11,No
243,Eternal Wave Apartments by Daystar Ventures,Calangute,Entire apartment,One-Bedroom Apartment,6020,7.7,64,No
244,Tony apartment baga,Baga,Entire apartment,Two-Bedroom Apartment with Balcony,7998,6.7,9,Yes
245,Mariposa Beach Grove,Agonda,Entire villa,Classic Beach Front Villa,16800,8.0,86,Yes
246,"Genesis Leisure - Charming home-stays near Anjuna, Vagator & Assagao",Anjuna,Entire apartment,One-Bedroom Apartment,6000,7.9,17,Yes
247,Azaya Beach Resort Goa,Benaulim,Entire villa,Deluxe Pool Villa with Private Pool - 20% discount on Spa & Laundry,59624,6.9,223,No
248,Luxury 2BHK Apartment Near Candolim Beach,Candolim,Entire apartment,Three-Bedroom Apartment,7998,,166,Yes
249,TreeHouse Blue Hotel & Villas,Colva,Entire villa,Three-Bedroom Villa,24700,9.4,23,No
250,Bens Inn,Mandrem,Entire studio,Deluxe Queen Studio,6000,8.7,54,Yes
251,Bright Boho Studio Near Candolim Beach - Modern Amenities & Work Desk,Candolim,Entire apartment,One-Bedroom Apartment with Balcony,6384,,,No
252,Goa Beach Apartment,Colva,Entire apartment,One-Bedroom Apartment with Pool View,9920,8.5,11,Yes
253,ELIVAAS 3 BHK with Pvt Pool in Assagao -Montforte Ayada,Assagao,Entire villa,Three-Bedroom Villa,45260,9.8,6,Yes
254,Kyle Calangute 1 bhk luxury apartment with pool,Calangute,Entire apartment,Apartment with Balcony,3998,6.0,12,Yes
255,Luxury 3BHK Penthouse Near Candolim,Candolim,Entire apartment,Three-Bedroom Apartment with Mountain View,20000,10,12,Yes
256,Waves Morjim,Morjim,Entire apartment,One-Bedroom Apartment,3600,,,Yes
257,Tha Villa Calangute,Calangute,Entire villa,Two-Bedroom Villa,6399,10,2,No
258,Baga Beach Homestay near Tito`s lane,Baga,Entire apartment,One-Bedroom Apartment,6000,8.6,5,Yes
259,Nirvana Paraiso,Marmagao,Entire apartment,Two-Bedroom Apartment,11700,9.7,25,Yes
260,ELIVAAS 1 BHK with Jacuzzi & Lift - Kamerios Brisa,Goa,Entire apartment,One-Bedroom Apartment,19840,9.2,5,Yes
261,Indismart Woodbourne Resort,Madgaon,Entire villa,Superior Villa,9794,6.7,13,Yes
262,VaNa - A Lindsay Manor,Vagator,Entire villa,Villa with Private Pool,51200,9.7,3,Yes
263,Serendipity Goa - Service Apartments and Cafe,Arambol,Entire studio,Deluxe Studio,6480,9.5,50,No
264,Guesthouse Sakina Colva,Colva,Entire apartment,Two-Bedroom Apartment,5200,8.8,211,Yes
265,Calvin's Retreat,Varca,Entire apartment,Apartment with Pool View,7998,7.2,26,Yes
266,Orabella Villas & Suites,Calangute,Private suite,King Suite with Pool View,27000,7.4,115,Yes
267,Luxury 2BHK Apartment with Swimming Pool near Candolim Beach,Candolim,Entire apartment,Two-Bedroom Apartment,14398,5.0,1,No
268,ELIVAAS Villa Paraiso 4 BHK with Pool & Bar,Camorlim,Entire villa,Villa,39935,10,4,Yes
269,Tata Housing -Garden & pool view-6KM from Airport,Marmagao,Entire apartment,Two-Bedroom Apartment,13219,5.3,17,No
270,Royalstar Resort,Vagator,Entire villa,One-Bedroom Villa,7650,8.8,79,Yes
271,"Santa Terra 1&2bhk Apartments With Common Pool & Kitchen & Security & Wifi, Near to Casino & Candolim Beach",Verem,Entire studio,SantaTerra-Modern studio apt in Reis Magos-WiFi,8942,6.0,1,Yes
272,La Maroma 3 BHK Splendid Villas in Anjuna - Pvt Pool- Garden & Caretaker,Vagator,Entire villa,La Maroma 03|Patio|Full Power Back-Up|Wifi|Cook Avl,81112,9.0,2,Yes
273,Coco Villa - 3 BHK Private Sea View Villa with Garden,Sancoale,Entire villa,Villa with Sea View,17600,7.3,3,Yes
274,Aastha Escape Resort near Calangute Beach,Calangute,Private suite,Superior Suite with Balcony,13000,5.2,20,Yes
275,Cloud 7 by ELIVAAS Luxurious 4 BHK Villa with Pvt Pool,Anjuna,Entire villa,Villa,50146,9.5,7,Yes
276,Cliff Heaven,Colva,Entire apartment,Standard Family Room,7000,9.2,46,No
277,ELIVAAS House of Neptune - 3 BHK Cottage with Terrace & Gazebo on the Beach,Morjim,Entire villa,Villa,47099,8.7,9,Yes
278,Alaya Stays 1 BHK with Balcony & Pool - Veera Marina,Goa,Entire apartment,One-Bedroom Apartment,15322,10,17,Yes
279,Kasa anjo,Candolim,Entire apartment,One-Bedroom Apartment,13998,,4,Yes
280,Frangipani Villa,Anjuna,Entire villa,Villa with Private Pool,54000,9.8,16,Yes
281,Beachfront pool villa Myconos,Anjuna,Entire villa,Two-Bedroom Villa,49300,7.2,5,Yes
282,Hotel blue ocean baga beach,Calangute,Entire studio,Deluxe Queen Studio,3998,5.5,2,Yes
283,Luxury 2BHK Apartment By Bluewave Hospitality,Candolim,Entire apartment,Two-Bedroom Apartment,11000,8.2,17,Yes
284,"Aguada Anchorage - The Villa Resort, Candolim",Candolim,Private suite,Two-Bedroom Suite,16600,9.0,188,No
285,"La Mosteiro in Assagao, Splendid 3&4BHk Villas with Private Pool, Private Parking, Garden, Caretaker, Kitchen & Security",Vagator,Entire villa,La Mosteiro 07|Pet Friendlyl Full Power Back-Up | Caretaker| Extra Maid’s Room| Cook Avl,80140,10,3,Yes
286,Alaya Stays 2 BHK with Balcony & Lift - Veera Marina,Goa,Entire apartment,Two-Bedroom Apartment,18125,9.0,10,Yes
287,"La Zorita, Luxurious 3 BHK with Private Pool, 10 mins from Anjuna Beach, Kitchen, Security, Terrace, Patio & Wifi",Anjuna,Entire villa,La Zorita 09|Patio|Full Power Back-Up|Wifi|Cook Avl,81251,10,6,Yes
288,"Pednekar's House, 1BHK with pool by SneekoStays",Nerul,Entire apartment,One-Bedroom Apartment,8000,10,7,No
289,Alaya Stays 3 BHK Apartment with Pool - Veera Marina,Goa,Entire apartment,Three-Bedroom Apartment with Balcony,22376,10,5,Yes
290,Areia De Goa - SunLight By Leela Homes,Arpora,Entire apartment,2 BHK Apartment,9000,8.0,10,Yes
291,The Cozy Chapter,Arpora,Entire apartment,Two-Bedroom Apartment,11000,9.7,3,Yes
292,"La Meira 3BHK Villas in Assagao with Private Pool, Garden, Caretaker, Kitchen & Security",Vagator,Entire villa,La Meira 03|Balcony|Poolside lounge|Full Power Back-Up| Cook Avl,75695,9.6,7,Yes
293,"OV Private Pool Villas near Baga, I 4BHK units I Staff",Calangute,Entire villa,Villa with Private Pool,59400,9.3,10,Yes
294,Villa Calangute Phase 4,Calangute,Entire villa,Villa with Garden View,26400,10,1,No
295,ELIVAAS Kamerios Maris 1BHK Apartment with Jacuzzi,Goa,Entire villa,Villa,13310,10,3,Yes
296,Beach Retreat Villa,Varca,Entire villa,Villa,18998,7.9,6,Yes
297,Stefleena's Nest,Loutolim,Entire villa,Two-Bedroom Villa,12598,8.7,3,Yes
298,Pool View Apartment - Sunshine By Leela Homes,Arpora,Entire apartment,Apartment with Pool View,9000,7.4,8,Yes
299,5-BHK Villa With Common Pool & Lift Near Beaches,Majorda,Entire villa,Villa,49579,9.0,3,Yes
300,Villa Calangute Phase 11,Calangute,Entire villa,Villa with Garden View,44200,9.0,2,No
301,Patnem Beach park,Canacona,Entire apartment,One-Bedroom Apartment,8400,7.7,32,Yes
302,Elegant 4Bhk Stay With Pool Near Beaches 2BHKX2,Vagator,Entire apartment,Apartment with Pool View,19580,8.3,28,No
303,Lacasita Villas & Cottages near Anjuna Beach & Shiva Valley,Anjuna,Entire villa,One-Bedroom Villa,6400,9.2,25,Yes
304,StayVista at Saanu Ki Villa with free Breakfast,Candolim,Entire villa,Three-Bedroom Villa,27241,9.2,8,No
305,The Byke Royal Pearl Anjuna,Anjuna,Entire villa,Villa,11000,7.9,14,No
306,"Ludo Private Pool Villa, WiFi-Caretaker-Parking, North Goa",Baga,Entire villa,Three-Bedroom Villa,29940,8.1,25,No
307,"ELIVAAS House of Neptune 1 BHK Cottage on the Beach & Famous Cafes, Restros",Morjim,Entire villa,Villa - Beach Front,28734,8.0,9,Yes
308,"Heritage Nirvana Villa - 4BHK, Goa",Calangute,Entire villa,Villa,30297,9.2,16,No
309,Shalom Guest House,Candolim,Entire apartment,Standard Apartment - Non AC,3000,8.8,48,Yes
310,Verona by Vianaar Luxe Garden Pool Villa Assagao,Goa,Entire villa,Villa,50000,9.4,6,No
311,"Aalia Villas Anjuna, Goa by Aalia Collection",Anjuna,Entire villa,Casa Amana 4 BR Villa,144590,10,7,No
312,Shree Sai Beach Stay,Arambol,Entire apartment,One-Bedroom Apartment with Sea View and Balcony,5998,9.2,53,Yes
313,Villa Esencia by VEO - Part of StayVista,Siolim,Entire villa,Villa,29217,9.0,2,Yes
314,Villa Calangute Phase 10,Calangute,Entire villa,Villa with Private Pool,81400,,,No
315,"SaffronStays Tudor San Ann - 5BR Candolim villa with infinity pool, lift & sunrise-view rooms near beach",Goa,Entire villa,Villa,101790,10,3,Yes
316,La Goa Villa - 4BHK Baga JAQK Holidays,Baga,Entire villa,Villa,29591,9.8,4,No
317,ELIVAAS 4 BHK Villa near Beach with Private Pool & Bar - Casa Boa Vida,Goa,Entire villa,Villa,51503,10,4,Yes
318,Villa Samaara14 Candolim Beach 500mts,Candolim,Entire villa,Two-Bedroom Villa,20000,7.0,1,No
319,Johnnie Holiday Homes,Arpora,Entire apartment,Apartment,14000,9.0,7,Yes
320,Beach Apartments Candolim,Candolim,Entire apartment,Apartment with Pool View,4998,4.3,6,Yes
321,Baale Resort Goa,Arpora,Entire villa,Three Bedroom Villa with Private pool,210000,8.5,2,No
322,Luxe Loft,Sangolda,Entire villa,Villa with Private Pool,70000,,,Yes
323,Isle View by VEO - Part of StayVista,Dabolim,Entire villa,Villa,32170,6.3,3,Yes
324,"ELIVAAS 5 BHK with Pvt Pool, Entertainment Room & Glass House - Bludoor",Marmagao,Entire villa,Entire Villa,102336,9.6,7,Yes
325,3BHK Villa with Private Pool near Anjuna,Old Goa,Entire villa,Villa,19888,9.0,5,Yes
326,"amã Stays & Trails, Cardozo House",Candolim,Entire apartment,Cardozo House 4 Bedroom Villa,128000,,,Yes
327,ELIVAAS 4 plus 1 BHK with Pvt pool - Amado Villa Shai,Goa,Entire villa,Villa,51674,10,3,Yes
328,FF-1 Apartment,Candolim,Entire apartment,Apartment with Balcony,8400,9.3,4,Yes
329,Good Stay 2BHK Pool apartment 10 mins from dabolim airport Goa 102,Consua,Entire apartment,Two-Bedroom Apartment,8100,8.7,18,Yes
330,Silent Beach Resort,Mandrem,Entire villa,Villa with Sea View,30000,8.9,130,No
331,Casa de Amor,Anjuna,Entire villa,Villa,48825,10,7,No
332,ELIVAAS 3 BHK with Pvt Pool - Panache,Arpora,Entire villa,Three-Bedroom Villa,36728,9.6,5,Yes
333,Paradise Village Beach Resort,Calangute,Entire villa,Royal Princeton – 2 Bedroom Villa,30000,6.5,59,Yes
334,"amã Stays & Trails, Braganza House",Candolim,Entire apartment,Deluxe Room,128000,9.0,2,Yes
335,Casa Stay Candolim Holiday Apartments with Pool-Free Parking-WiFi-Powerback up,Candolim,Entire studio,Studio with Balcony,5600,9.5,2,Yes
336,Heritage Exotica Villa - 3BHK by JAQK Holidays,Arpora,Entire villa,Three-Bedroom Villa,21233,,,No
337,Ochre Villa- Luxury property in Assagaon / Vagator,Vagator,Entire villa,Three-Bedroom Villa,60000,7.8,12,No
338,Hillcrest Homestay,Canacona,Entire apartment,Suite Apartment,4000,9.3,3,Yes
339,"amã Stays & Trails Chikoo Villa, Goa",Old Goa,Entire apartment,Villa,120000,,,Yes
340,Saldanha Kyle gardens,Calangute,Entire apartment,Apartment with Balcony,4750,9.4,29,Yes
341,Coco inn Goa,Candolim,Entire villa,Villa,4000,8.4,67,Yes
342,"La Covelo, 3BHK Villas very close to Assagao with Private Pool, Terrace, Garden, Kitchen & Security",Parra,Entire villa,La Covelo 02|Patio|Full Power Back-Up|Wifi|Cook Avl,79103,8.7,3,Yes
343,Rodrigues Residency Goa,Majorda,Entire studio,Studio with Garden View,3564,9.5,31,Yes
344,Carolina Deluxe GuestHouse Wi-Fi,Colva,Entire villa,Three-Bedroom Villa,13998,5.5,18,Yes
345,Shalom Deluxe Luxury Apartments and Villa,Colva,Entire studio,Studio with Balcony,3958,5.3,60,Yes
346,Luxzy Studio Apartments Goa,North goa,Entire villa,Standard Villa,1998,4.6,7,Yes
347,"Riviera Foothills ,Baga, Arpora, North Goa one & Two BHK",Arpora,Entire apartment,Two-Bedroom Apartment,7000,8.8,11,Yes
348,Villa Verediana,Candolim,Entire studio,Studio with Balcony,3097,7.5,90,Yes
349,Tahom villas - Vagator Goa - Next to Market - 5mins from Goya & beach,Vagator,Entire villa,Superior Villa,9000,9.7,8,Yes
350,Beach Apartments 2bhk Candolim Goa,Candolim,Entire apartment,Apartment with Pool View,4398,4.9,11,Yes
351,"De Mandarin Beach Resort Suites & Villas, Candolim",Candolim,Entire villa,2 Bedroom Family Villa Private Pool,37577,8.3,358,Yes
352,"TATA Rio De Goa, Good Stay 2 BHK Pool View Premium Apartment, 805",Dabolim,Entire apartment,Two-Bedroom Apartment,10000,8.9,75,Yes
353,"The Greendoor Villa - 10, Pool, 8 mins to beach",Marna,Entire villa,Deluxe Villa,13646,,23,Yes
354,Heritage Exotica 2BHK Home Stay in goa,Arpora,Entire apartment,Two-Bedroom Apartment,9998,,,Yes
355,Villa Sylvana By Bluewave Hospitality,Nagoa-Bardez,Entire villa,Villa with Private Pool,22000,10,7,Yes
356,Shanaya Holiday Apartment,Benaulim,Entire apartment,One-Bedroom Apartment,2520,8.9,149,No
357,Nikita Stay Goa,Calangute,Entire apartment,One-Bedroom Apartment with Balcony,6838,7.1,36,No
358,Premium hotel Goa Continental By PerfectStayz,Arpora,Entire apartment,Two-Bedroom Family Apartment,19500,8.8,34,Yes
359,Studio Apartment -Dom Francisco,Candolim,Entire apartment,One-Bedroom Apartment,2700,8.4,50,No
360,EKOSTAY - Peach Grove Villa - 3kms away from Calangute and Baga Beach,Arpora,Entire villa,Villa with Private Pool,49500,10,2,Yes
361,"La Dora -3BHK Contemporary Villas with Pvt Pool, 5 mins Walk to Vagator beach-Caretaker & Garden",Vagator,Entire villa,La Dora 12|Patio|Terrace|Full Power Back-Up| Cook Avl,72355,10,2,Yes
362,Stylish 1 BHK Apartment in G0A,Calangute,Entire apartment,One-Bedroom Apartment,2600,3.5,10,Yes
363,The Sequeira Goa,Majorda,Entire apartment,One-Bedroom Deluxe Apartment,5998,6.9,72,Yes
364,3 bhk home stay baga,Arpora,Entire villa,Three-Bedroom Villa,16244,,,Yes
365,LUX AETERNA Siolim North Goa,Mapusa,Entire apartment,One-Bedroom Apartment,6800,9.5,2,Yes
366,"Garden View 1 BHK2BR Appt., Rio De Goa TATA Housing",Sancoale,Entire apartment,One-Bedroom Apartment,7000,9.1,11,No
367,2 BHK luxury apartment in Calangute beach Saldana,Calangute,Entire apartment,Two-Bedroom Apartment,9800,4.8,5,Yes
368,"Golden Sea Blue, 1 bhk Beach apartment",Benaulim,Entire apartment,One-Bedroom Apartment,6930,10,2,No
369,Serene Apartment - GetGo Stays,Camorlim,Entire apartment,One-Bedroom Apartment,11998,,,Yes
370,Candolim Monarch palms -Sun & Sand,Candolim,Entire apartment,One-Bedroom Apartment,6300,,,Yes
371,Shivkrupa Apartments,Arambol,Entire apartment,One-Bedroom Apartment,4500,9.2,5,Yes
372,"La Agueda 2BHK Luxury Villas, 10 mins to Candolim Beach & 5 mins to Casino with Private Pool, Fully Equipped Kitchen, Garden, 24x7 Security & WiFi",Nerul,Entire villa,La Agueda 06|Garden|Patio|Wifi|Cook Avl,24706,10,2,Yes
373,Studio apartment hotel blue ocean baga beach,Calangute,Entire studio,Deluxe King Studio,3998,7.0,1,Yes
374,"Cozy 3BHK Apartment near Zalor Beach , Goa Getaway",Orlim,Entire apartment,Three-Bedroom Apartment,8000,,,Yes
375,Xavier's guesthouse Wi-Fi and Villa,Colva,Entire studio,Studio with Balcony,3998,3.4,13,Yes
376,Rosean Homestay Self Service Apartments,Candolim,Entire studio,Studio with Balcony,5000,9.6,52,Yes
377,Hotel Ave Maria Colva Beach,Colva,Entire holiday home,Three-Bedroom Holiday Home,11998,4.0,9,Yes
378,Palmera Home Stay,Siolim,Entire apartment,One-Bedroom Apartment,3762,9.5,2,No
379,Nada Brahma Patnem Beach,Patnem,Entire villa,Villa with Sea View,32000,9.1,25,No
380,Hotel Sejal,Calangute,Entire apartment,One-Bedroom Deluxe Apartment,7000,9.3,3,Yes
381,Spectrum Hub beach side Studio Apartment - Candolim - Goa,Candolim,Entire apartment,One-Bedroom Apartment,4000,7.9,50,Yes
382,"MYKA at Dsouza Heritage, Moira",Mapusa,Entire apartment,Two-Bedroom Apartment,15666,8.7,41,Yes
383,Jia Calangute Goa,Calangute,Entire apartment,One-Bedroom Apartment,5998,6.2,24,Yes
384,Casa Belle 3 BR Town Home short drive to Panjim City and Casino,Panaji,Entire apartment,Three-Bedroom Apartment,14398,,45,Yes
385,2 bhk Apartment Anjuna-vagator,Anjuna,Entire apartment,Two-Bedroom Apartment,4320,7.5,2,Yes
386,PS Villa 3bhk Baga,Arpora,Entire villa,Three-Bedroom Villa,16000,10,7,Yes
387,Merlot Suites,Porvorim,Private suite,Family Suite,6200,9.2,8,Yes
388,CHATEAU MADEIRA BY GOAN DIARIES,Moira,Entire villa,Villa with Garden View,59998,9.7,15,Yes
389,Blue ocean apartment baga Kyle,Calangute,Entire apartment,Apartment - Ground Floor,4598,,,Yes
390,1Bhk URA Apartment Candolim,Candolim,Entire apartment,One-Bedroom Apartment,4000,3.0,3,No
391,"Sana Villas & Rooms Anjuna Beach Goa ""Premium Luxury Villa with Pool""",Anjuna,Entire villa,Villa with Garden View,11000,5.5,6,Yes
392,Harmony Retreat homestay,Calangute,Entire apartment,Apartment with Balcony,8910,8.3,19,Yes
393,Plaza de Araujo,Benaulim,Entire apartment,Apartment with Balcony,5600,9.7,51,No
394,Independent Villa with private pool in Siolim Goa,Oxel,Entire villa,Villa,27960,10,1,No
395,Villa Royal Adobe,Siroda,Entire villa,Villa,11900,,,Yes
396,"Soul Vacation Resort and Spa,Colva",Colva,Entire villa,Three-Bedroom Villa,31684,7.9,164,No
397,"Whoopers Party Hostel, Palolem",Palolem,Entire villa,Premium Suite,8798,7.5,240,Yes
398,Yellow Maple,Camorlim,Entire villa,One-Bedroom Villa,11600,,,Yes
399,Mukund Sadan Retreat Arambol Goa,Arambol,Entire studio,Superior Studio,2470,8.0,1,No
400,Patnem Bliss,Canacona,Entire apartment,One-Bedroom Apartment,4380,8.6,5,Yes
401,"DELTA HOUSE, Horizon View",Calangute,Entire apartment,One-Bedroom Apartment with Balcony and Sea View,7200,,,Yes
402,'Golden Oceans' 3 bhk beach view villa,Benaulim,Entire villa,Three-Bedroom Villa,19000,9.6,16,Yes
403,Casa De Mor Villa with Pool,Anjuna,Entire villa,Superior Villa,36000,9.0,115,No
404,Titus Parra Coconut Paradise villa,Parra,Entire villa,Two-Bedroom Villa,11189,,,Yes
405,shivkrupa Guest house,Arambol,Entire apartment,One-Bedroom Apartment,4000,10,3,Yes
406,BellaVie 3-BHK Villa With Private Pool & TV Lounge Area in A Gated Complex,Siolim,Entire villa,Three-Bedroom Villa,34700,10,6,Yes
407,Beachside Bliss Villas Candolim 10 min walk from Sinquerim Beach,Sinquerim,Entire villa,AguadaAnchorage- Cosy 4bhk villa next to the beach,34132,8.5,2,Yes
408,Luxury 1bhk with Bathtub Pool near Calangute Baga Beach,Calangute,Entire apartment,One-Bedroom Apartment,6000,8.3,4,Yes
409,Villa Marina -By The Beach Goa,Benaulim,Entire villa,One-Bedroom Villa,11038,9.0,23,No
410,Resort Palmeiras Dourado,Cansaulim,Private suite,Suite,20020,8.9,517,No
411,The Candolim House - Premium 1BHK Suite with Pool near Candolim-Calangute Beach,Candolim,Entire apartment,One-Bedroom Apartment,8379,9.0,28,No
412,1 BHK Private Apartment with a Balcony,Varca,Entire apartment,One-Bedroom Apartment,3600,7.8,6,Yes
413,Antonio's guest house,Candolim,Entire apartment,One-Bedroom Apartment,4000,,,Yes
414,Seacastle luxury apartments,Consua,Entire apartment,Two-Bedroom Apartment,7738,8.6,7,Yes
415,Goodstay Elegant Ocean-Themed -207,Dabolim,Entire apartment,Two-Bedroom Apartment,18000,8.4,21,Yes
416,Vagator lux villas - Upernia,Anjuna,Entire villa,Superior Villa,30000,,,Yes
417,Casa Camotim,Madkai,Entire villa,Three-Bedroom Villa,11408,9.0,4,Yes
418,"Oceanic Sunsets with River View, Comp Breakfast & Infinity Pool at StayVista",Verem,Entire villa,Villa,210899,,3,Yes
419,Ronne's 3BHK Apartment with kitchen at calangute beach,Calangute,Entire apartment,Three-Bedroom Apartment,9110,9.0,2,Yes
420,"Villa Avanora By DanCenter | 5BHK | Pvt Pool | Baga Beach, GOA",Arpora,Entire villa,Villa,49056,,,Yes
421,'Golden Sea Pearl' 1 bhk Beach apartment,Benaulim,Entire apartment,One-Bedroom Apartment,8910,9.5,24,No
422,Vista Parra,Parra,Entire apartment,Apartment,5998,7.0,1,Yes
423,2 Bedoom Apartment with Pool in BAGA Holiday Home CASA STAY,Baga,Entire apartment,Apartment,8998,8.2,4,Yes
424,Aguiar Guest House,Colva,Entire apartment,Three-Bedroom Apartment,10000,6.8,61,No
425,Emperor Ozran by Alaya Stays,Vagator,Private suite,Emperor Ozran Studio w/ kitchen,16782,8.9,70,Yes
426,Beach River House Mandrem,Mandrem,Entire apartment,One-Bedroom Apartment,4000,7.6,6,Yes
427,Comfort Stay Calangute beach Goa,Serula,Entire apartment,One-Bedroom Apartment,6300,8.0,1,Yes
428,Telferk Acron Seawinds Apartment- Baga,Calangute,Entire apartment,Two-Bedroom Apartment,12960,9.7,39,No
429,Cozy River Front Studio in Siolim,Agarvado,Entire apartment,One-Bedroom Apartment,6000,,,Yes
430,Hi Goa,Sangolda,Entire apartment,Apartment with Pool View,21600,9.0,1,Yes
431,Casa Gracias,Colva,Entire apartment,One-Bedroom Apartment,4500,9.6,7,Yes
432,EM Coastal Studios 302,Calangute,Entire apartment,Studio Apartment,6300,10,5,No
433,Palm Breeze Suites,Palolem,Private suite,Queen Suite,8000,9.0,73,Yes
434,3BHK Luxury Villa with Private Pool Near Candolim,Marmagao,Entire villa,Villa with Private Pool,21058,6.0,8,Yes
435,Olive Door 1 BHK Suite Near Candolim beach,Calangute,Entire apartment,Two-Bedroom Apartment,7600,10,1,Yes
436,Vrindavan Homestay Panaji,Batim,Entire villa,Two-Bedroom Villa,8500,10,2,Yes
437,Baagh House Villa,Saligao,Entire villa,Superior Villa,37800,,,Yes
438,Majorda Coastal Homestay,Nuvem,Entire apartment,Two-Bedroom Apartment,10800,9.7,31,Yes
439,Assagao Serenity Newly Renovated,Assagao,Entire villa,Two-Bedroom Villa,10798,9.0,1,No
440,BEAUTIFUL SPACIOUS STUDIO APT IN CANDOLIM with Wifi,Candolim,Entire apartment,Apartment with Balcony,5000,6.0,1,Yes
441,Amazing Pool View 2BHK Candolim Goa Apartment,Candolim,Entire apartment,Two-Bedroom Apartment,11330,9.7,3,No
442,GR STAYs Private Pool Villa in Calangute 5 mins to Baga,Arpora,Entire villa,Villa,32506,10,1,Yes
443,White House Beach Apartments,Mandrem,Entire apartment,One-Bedroom Apartment,3398,8.5,2,Yes
444,Cozy Dream Apartment,Anjuna,Entire apartment,Two-Bedroom Apartment,10170,9.0,24,Yes
445,URA Apartment 2bhk Candolim Goa,Calangute,Entire apartment,Two-Bedroom Apartment,6838,,,No
446,INDRA'S NEST - Studio Apartments,Arambol,Entire studio,Standard Studio,2878,8.3,119,Yes
447,"Sun-kissed Holidays Goa, Zing",Candolim,Entire apartment,Apartment with Garden View,8998,,,Yes
448,Studio Peaceful Path R-5 by Mukund Sadan Arambol,Arambol,Entire apartment,One-Bedroom Apartment,2600,9.0,1,Yes
449,Palette by RÊVE Escapes - Premium 2 BHK apartment Near Anjuna Beach,Assagao,Entire apartment,Two-Bedroom Apartment,40000,9.0,2,Yes
450,Hil min apartment Calangute,Calangute,Entire apartment,One-Bedroom Apartment,2400,7.7,3,Yes
451,Laxmi house,Arambol,Entire studio,Family Studio,2998,8.0,1,Yes
452,Mediterranean Bliss by VEO - Part of StayVista,Sangolda,Entire villa,Villa,29053,10,2,Yes
453,Villa Nazuri w Caretaker,Candolim,Entire villa,Three-Bedroom Villa,27000,8.7,21,No
454,La Donaira 2 & 3 BHK Villas with Private Pool Garden & Kitchen 10 mins to Vagator & Morjim Beach,Siolim,Entire villa,La Donaira 06|Balcony|Full Power Back-Up| Cook Avl,35296,9.8,4,Yes
455,Joe Height Apartment,Baga,Entire apartment,One-Bedroom Apartment with Balcony,8100,9.0,21,Yes
456,The Chai Villa by Hireavilla - Lux 3BHK near Anjuna & Vagator Beach,Anjuna,Entire villa,Three-Bedroom Villa,33450,,,Yes
457,"Rainforest Enclave, Arpora - 10 mins to Baga beach",Arpora,Entire apartment,Apartment with Pool View,11998,8.9,30,Yes
458,Candolim Bliss Villa with pvt Pool -300 m walk to beach,Candolim,Entire villa,Three-Bedroom Villa,34000,10,1,Yes
459,Kanha 2 pool view flat,Candolim,Entire apartment,Two-Bedroom Apartment,5300,10,1,Yes
460,EKOSTAY - Grey Goose Villa,Calangute,Entire villa,Villa with Private Pool,49500,10,1,Yes
461,Pansoi - A luxurious cozy stay in Siolim,Oxel,Entire apartment,One-Bedroom Family Apartment,6300,,,No
462,Ventura Solaria- 1BHK with Pool,Camorlim,Entire apartment,One-Bedroom Apartment,5670,1.0,1,No
463,Tropical 1BHK Apartment by Déjà Vu Stays,Candolim,Entire apartment,One-Bedroom Apartment,6800,9.5,2,Yes
464,Koito-House calangute guest house,Calangute,Entire apartment,Two-Bedroom Apartment,6900,7.9,42,Yes
465,Kiki Stay- 2BHK Apartment with Pool,Morjim,Entire apartment,Apartment,18000,,,Yes
466,'Golden Coral' 2bhk Benaulim Beach villa Goa,Benaulim,Entire villa,Two-Bedroom Villa,13860,9.6,27,No
467,La Olalian 2 & 3 BHK Designer Villas Near Anjuna Beach with Private Pool & Sun Deck & Garden,Anjuna,Entire villa,La Olalian 08|Garden|Balcony|Wifi|Cook Avl,49766,8.0,2,Yes
468,"Luxury Stay at Varca, Goa",Varca,Entire apartment,Two-Bedroom Apartment,4400,8.6,12,Yes
469,"TATA Rio De Goa ,Good Stay 1 BHK Apartment,10 min from Airport, 604",Dabolim,Entire apartment,One-Bedroom Apartment,8000,8.3,36,Yes
470,Casa Margarida,Calangute,Entire apartment,Apartment - Ground Floor,4998,9.4,154,Yes
471,Goodstay Sunlit Bliss Cozy2BHK with Luxe Touch704,Dabolim,Entire apartment,One-Bedroom Apartment,9500,8.7,14,Yes
472,AR APARTMENTS -Arpora,Arpora,Entire apartment,Apartment with Pool View,6478,9.0,1,Yes
473,Chique Shanti Villa,Mandrem,Entire apartment,Two-Bedroom Apartment with Pool View,13600,10,1,Yes
